ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220090_at	8.44e-18	3.79e-22	17.268691	39.5620678	8.0806929	CRNN	cornulin
214567_s_at	1.35e-15	1.21e-19	-14.968972	34.1489755	-4.2319325	XCL2///XCL1	X-C motif chemokine ligand 2///X-C motif chemokine ligand 1
207373_at	4.22e-15	5.86e-19	-14.379927	32.6573006	-5.0124865	HOXD10	homeobox D10
204779_s_at	4.22e-15	7.57e-19	-14.285328	32.4135451	-3.762573	HOXB7	homeobox B7
216973_s_at	5.46e-15	1.23e-18	-14.108819	31.9555829	-3.1700872	HOXB7	homeobox B7
209875_s_at	3.08e-14	8.31e-18	-13.420751	30.1307516	-4.2975145	SPP1	secreted phosphoprotein 1
203510_at	3.21e-14	1.01e-17	-13.351609	29.9438519	-3.0054724	MET	MET proto-oncogene, receptor tyrosine kinase
204475_at	6.11e-14	2.20e-17	-13.079009	29.2006429	-7.1715173	MMP1	matrix metallopeptidase 1
214604_at	6.94e-14	2.80e-17	-12.993744	28.9660906	-3.6099144	HOXD11	homeobox D11
207802_at	9.17e-14	4.12e-17	12.860812	28.5984226	8.476941	CRISP3	cysteine rich secretory protein 3
219554_at	8.24e-13	4.22e-16	12.070565	26.3622676	5.2689972	RHCG	Rh family C glycoprotein
206605_at	8.24e-13	4.44e-16	12.053401	26.3127363	6.1759494	ENDOU	endonuclease, poly(U) specific
213457_at	1.02e-12	5.95e-16	-11.955783	26.0302487	-2.6141651	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
201506_at	3.14e-12	1.97e-15	-11.560859	24.8738643	-3.1136545	TGFBI	transforming growth factor beta induced
204778_x_at	3.78e-12	2.55e-15	-11.477603	24.6273111	-3.2623532	HOXB7	homeobox B7
206004_at	5.03e-12	3.72e-15	11.354965	24.2623767	5.3964221	TGM3	transglutaminase 3
213895_at	5.03e-12	3.88e-15	11.341297	24.2215759	3.5208103	EMP1	epithelial membrane protein 1
220026_at	5.03e-12	4.06e-15	11.325838	24.1753954	5.5638004	CLCA4	chloride channel accessory 4
206140_at	1.10e-11	9.34e-15	-11.058107	23.3703882	-6.1465072	LHX2	LIM homeobox 2
218618_s_at	1.16e-11	1.04e-14	-11.023555	23.265775	-2.3948311	LOC101928615///FNDC3B	uncharacterized LOC101928615///fibronectin type III domain containing 3B
204241_at	1.81e-11	1.70e-14	10.866452	22.7880588	2.0096346	ACOX3	acyl-CoA oxidase 3, pristanoyl
206558_at	2.26e-11	2.23e-14	10.781345	22.5278539	2.8696145	SIM2	single-minded family bHLH transcription factor 2
202087_s_at	2.57e-11	2.65e-14	-10.72641	22.3593727	-2.3330659	CTSL	cathepsin L
204777_s_at	2.67e-11	2.88e-14	10.700442	22.2795895	5.5687113	MAL	mal, T-cell differentiation protein
218543_s_at	2.74e-11	3.08e-14	-10.679587	22.2154486	-1.8616873	PARP12	poly(ADP-ribose) polymerase family member 12
213139_at	2.78e-11	3.25e-14	-10.662735	22.1635752	-2.7649822	SNAI2	snail family transcriptional repressor 2
220149_at	3.55e-11	4.30e-14	10.574221	21.890485	3.3623551	C2orf54	chromosome 2 open reading frame 54
213572_s_at	5.27e-11	6.63e-14	10.439045	21.4713944	3.0502489	SERPINB1	serpin family B member 1
209719_x_at	6.64e-11	8.65e-14	10.356094	21.213006	4.0432859	SERPINB3	serpin family B member 3
212268_at	7.97e-11	1.09e-13	10.283192	20.9851676	3.2691352	SERPINB1	serpin family B member 1
209291_at	7.97e-11	1.11e-13	10.278966	20.9719383	3.2402928	ID4	inhibitor of DNA binding 4, HLH protein
206366_x_at	8.08e-11	1.18e-13	-10.259973	20.9124523	-3.529122	XCL1	X-C motif chemokine ligand 1
220723_s_at	8.08e-11	1.20e-13	10.255159	20.8973667	4.136502	CWH43	cell wall biogenesis 43 C-terminal homolog
207008_at	8.34e-11	1.27e-13	10.235994	20.8372824	4.5247635	CXCR2	C-X-C motif chemokine receptor 2
214536_at	9.08e-11	1.43e-13	10.200847	20.7269691	4.6771167	SLURP1	secreted LY6/PLAUR domain containing 1
213509_x_at	1.16e-10	1.88e-13	10.115203	20.4574818	2.2706169	CES2	carboxylesterase 2
203936_s_at	1.16e-10	1.92e-13	-10.108571	20.4365763	-2.5672213	MMP9	matrix metallopeptidase 9
213929_at	1.23e-10	2.09e-13	10.082815	20.3553218	2.2722705	EXPH5	exophilin 5
214229_at	1.26e-10	2.21e-13	-10.066249	20.3030166	-3.4276133	DNAH17	dynein axonemal heavy chain 17
211548_s_at	1.70e-10	3.09e-13	9.963402	19.977484	4.9762503	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
33579_i_at	1.70e-10	3.14e-13	9.958365	19.9615058	2.8137975	GALR3	galanin receptor 3
211667_x_at	2.09e-10	3.94e-13	9.888399	19.7392253	3.2936401	TRAV12-2	T cell receptor alpha variable 12-2
220753_s_at	2.14e-10	4.17e-13	9.871375	19.6850476	1.823701	CRYL1	crystallin lambda 1
37892_at	2.14e-10	4.23e-13	-9.867233	19.6718583	-4.7169513	COL11A1	collagen type XI alpha 1 chain
207655_s_at	2.66e-10	5.46e-13	9.789223	19.4230809	2.7565182	BLNK	B-cell linker
203878_s_at	2.66e-10	5.50e-13	-9.786968	19.4158776	-2.9906092	MMP11	matrix metallopeptidase 11
208771_s_at	2.69e-10	5.68e-13	9.776862	19.3835901	1.2816079	LOC101928830///LTA4H	uncharacterized LOC101928830///leukotriene A4 hydrolase
214453_s_at	2.78e-10	5.98e-13	-9.761116	19.3332555	-2.2173586	IFI44	interferon induced protein 44
203675_at	2.87e-10	6.32e-13	9.744718	19.2808051	2.9582916	NUCB2	nucleobindin 2
209668_x_at	3.06e-10	6.92e-13	9.716793	19.1914061	2.2940053	CES2	carboxylesterase 2
221524_s_at	3.06e-10	7.01e-13	9.712898	19.1789303	3.0988188	RRAGD	Ras related GTP binding D
203914_x_at	3.31e-10	7.72e-13	9.683734	19.0854494	4.6338009	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
222362_at	5.42e-10	1.30e-12	9.526886	18.5808837	3.4747318	AGFG2	ArfGAP with FG repeats 2
203407_at	5.42e-10	1.31e-12	9.522691	18.5673469	2.7884593	PPL	periplakin
209546_s_at	5.46e-10	1.35e-12	-9.515398	18.5438099	-2.5422591	APOL1	apolipoprotein L1
204092_s_at	5.73e-10	1.44e-12	-9.495154	18.4784369	-2.4353655	AURKA	aurora kinase A
211442_x_at	5.79e-10	1.48e-12	9.486955	18.4519478	3.3582945	CYP3A43	cytochrome P450 family 3 subfamily A member 43
211549_s_at	5.81e-10	1.51e-12	9.480534	18.4311965	3.4524169	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
203382_s_at	6.18e-10	1.64e-12	-9.456628	18.3538955	-4.010406	APOE	apolipoprotein E
203438_at	6.29e-10	1.70e-12	-9.445019	18.3163312	-2.9206461	STC2	stanniocalcin 2
222272_x_at	6.29e-10	1.73e-12	9.440512	18.3017424	2.535552	SCIN	scinderin
210511_s_at	6.29e-10	1.75e-12	-9.43661	18.2891115	-5.1345369	INHBA	inhibin beta A subunit
204078_at	6.52e-10	1.84e-12	-9.420681	18.2375287	-2.8727984	P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic)
214451_at	6.57e-10	1.91e-12	9.409689	18.2019138	5.1106374	TFAP2B	transcription factor AP-2 beta
219529_at	6.57e-10	1.92e-12	9.40924	18.2004586	5.4898572	CLIC3	chloride intracellular channel 3
201612_at	6.84e-10	2.03e-12	9.392488	18.1461537	1.5609811	ALDH9A1	aldehyde dehydrogenase 9 family member A1
212543_at	7.01e-10	2.11e-12	9.380505	18.1072861	1.9759066	AIM1	absent in melanoma 1
219684_at	7.23e-10	2.21e-12	-9.366993	18.06344	-2.4281451	RTP4	receptor transporter protein 4
220724_at	7.46e-10	2.31e-12	9.352987	18.0179696	5.2697058	CWH43	cell wall biogenesis 43 C-terminal homolog
221737_at	7.76e-10	2.44e-12	-9.336947	17.9658662	-1.6285753	GNA12	G protein subunit alpha 12
221523_s_at	7.97e-10	2.56e-12	9.322922	17.9202822	1.8163048	RRAGD	Ras related GTP binding D
203857_s_at	7.97e-10	2.58e-12	-9.320401	17.912087	-1.8077677	MIR7110///PDIA5	microRNA 7110///protein disulfide isomerase family A member 5
203700_s_at	8.52e-10	2.79e-12	9.296406	17.8340407	3.460594	DIO2	deiodinase, iodothyronine, type II
202107_s_at	1.06e-09	3.58e-12	-9.222267	17.5924666	-2.2523568	MCM2	minichromosome maintenance complex component 2
221730_at	1.06e-09	3.60e-12	-9.220145	17.5855409	-2.8473929	COL5A2	collagen type V alpha 2 chain
202580_x_at	1.06e-09	3.63e-12	-9.217865	17.5781013	-2.1555311	FOXM1	forkhead box M1
203913_s_at	1.10e-09	3.80e-12	9.204056	17.5330276	4.5496015	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
41644_at	1.15e-09	4.02e-12	9.187238	17.4781042	2.6184723	SASH1	SAM and SH3 domain containing 1
206632_s_at	1.15e-09	4.09e-12	-9.182078	17.4612478	-3.1854646	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
210413_x_at	1.28e-09	4.59e-12	9.148047	17.3499891	3.4871694	SERPINB4///SERPINB3	serpin family B member 4///serpin family B member 3
205242_at	1.29e-09	4.71e-12	-9.140512	17.3253372	-4.8092511	CXCL13	C-X-C motif chemokine ligand 13
218262_at	1.30e-09	4.77e-12	9.136371	17.3117875	2.073401	RMND5B	required for meiotic nuclear division 5 homolog B
201710_at	1.38e-09	5.15e-12	-9.113675	17.2374862	-2.936683	MYBL2	MYB proto-oncogene like 2
212141_at	1.39e-09	5.23e-12	-9.108889	17.2218099	-1.7253883	MCM4	minichromosome maintenance complex component 4
201348_at	1.50e-09	5.74e-12	9.081381	17.1316586	3.8125056	GPX3	glutathione peroxidase 3
205185_at	1.52e-09	5.88e-12	9.074072	17.1076928	4.850829	SPINK5	serine peptidase inhibitor, Kazal type 5
209772_s_at	1.52e-09	5.92e-12	9.072068	17.1011187	3.5743243	CD24	CD24 molecule
220017_x_at	1.52e-09	6.07e-12	9.064841	17.0774122	2.282562	CYP2C9	cytochrome P450 family 2 subfamily C member 9
206364_at	1.52e-09	6.09e-12	-9.063795	17.0739825	-1.8917857	KIF14	kinesin family member 14
201189_s_at	1.62e-09	6.56e-12	-9.041622	17.0012109	-1.3388303	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
212510_at	1.62e-09	6.61e-12	9.039346	16.9937358	2.0560785	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
213240_s_at	1.66e-09	6.85e-12	9.028985	16.9597127	6.4187757	KRT4	keratin 4
205483_s_at	1.94e-09	8.14e-12	-8.977592	16.7907589	-3.1887331	ISG15	ISG15 ubiquitin-like modifier
202236_s_at	1.94e-09	8.18e-12	-8.976396	16.7868232	-1.9980673	SLC16A1	solute carrier family 16 member 1
219631_at	1.94e-09	8.28e-12	-8.972707	16.774685	-2.4251036	LRP12	LDL receptor related protein 12
201324_at	1.94e-09	8.34e-12	8.970453	16.7672668	2.5562397	EMP1	epithelial membrane protein 1
221729_at	2.06e-09	8.95e-12	-8.949531	16.698386	-2.8401301	COL5A2	collagen type V alpha 2 chain
210096_at	2.14e-09	9.41e-12	8.934959	16.6503831	6.1019776	CYP4B1	cytochrome P450 family 4 subfamily B member 1
213147_at	2.19e-09	9.73e-12	-8.924934	16.617347	-2.9375446	HOXA10	homeobox A10
209942_x_at	2.51e-09	1.13e-11	-8.881214	16.4731399	-5.4338303	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3
210461_s_at	2.64e-09	1.20e-11	8.863815	16.415695	2.5395476	ABLIM1	actin binding LIM protein 1
213391_at	2.80e-09	1.28e-11	-8.843741	16.3493767	-1.6329703	DPY19L4	dpy-19 like 4 (C. elegans)
202575_at	2.83e-09	1.31e-11	8.837582	16.3290198	2.6739724	CRABP2	cellular retinoic acid binding protein 2
203417_at	3.07e-09	1.43e-11	-8.811027	16.2412082	-2.9638095	MFAP2	microfibrillar associated protein 2
218888_s_at	3.10e-09	1.46e-11	-8.804855	16.2207886	-2.011187	NETO2	neuropilin and tolloid like 2
208650_s_at	3.31e-09	1.57e-11	8.782895	16.1481005	2.7553325	CD24	CD24 molecule
221810_at	3.51e-09	1.68e-11	-8.763131	16.0826375	-3.0682744	RAB15	RAB15, member RAS oncogene family
