"",title0
GSM1069774,tissue type: Cancer tissue
GSM1069775,tissue type: Cancer tissue
GSM1069776,tissue type: Cancer tissue
GSM1069777,tissue type: Cancer tissue
GSM1069778,tissue type: Adjacent normal tissue
GSM1069779,tissue type: Adjacent normal tissue
GSM1069780,tissue type: Adjacent normal tissue
GSM1069781,tissue type: Adjacent normal tissue
GSM1069782,tissue type: Cancer tissue
GSM1069783,tissue type: Cancer tissue
GSM1069784,tissue type: Cancer tissue
GSM1069785,tissue type: Cancer tissue
GSM1069786,tissue type: Adjacent normal tissue
GSM1069787,tissue type: Adjacent normal tissue
GSM1069788,tissue type: Adjacent normal tissue
GSM1069789,tissue type: Adjacent normal tissue
GSM1069790,tissue type: Cancer tissue
GSM1069791,tissue type: Cancer tissue
GSM1069792,tissue type: Cancer tissue
GSM1069793,tissue type: Cancer tissue
GSM1069794,tissue type: Adjacent normal tissue
GSM1069795,tissue type: Adjacent normal tissue
GSM1069796,tissue type: Adjacent normal tissue
GSM1069797,tissue type: Adjacent normal tissue
GSM1069798,tissue type: Cancer tissue
GSM1069799,tissue type: Cancer tissue
GSM1069800,tissue type: Cancer tissue
GSM1069801,tissue type: Cancer tissue
GSM1069802,tissue type: Adjacent normal tissue
GSM1069803,tissue type: Adjacent normal tissue
GSM1069804,tissue type: Adjacent normal tissue
GSM1069805,tissue type: Adjacent normal tissue
GSM1069806,tissue type: Cancer tissue
GSM1069807,tissue type: Cancer tissue
GSM1069808,tissue type: Cancer tissue
GSM1069809,tissue type: Cancer tissue
GSM1069810,tissue type: Adjacent normal tissue
GSM1069811,tissue type: Adjacent normal tissue
GSM1069812,tissue type: Adjacent normal tissue
GSM1069813,tissue type: Adjacent normal tissue
GSM1069814,tissue type: Cancer tissue
GSM1069815,tissue type: Cancer tissue
GSM1069816,tissue type: Cancer tissue
GSM1069817,tissue type: Cancer tissue
GSM1069818,tissue type: Adjacent normal tissue
GSM1069819,tissue type: Adjacent normal tissue
GSM1069820,tissue type: Adjacent normal tissue
GSM1069821,tissue type: Adjacent normal tissue
GSM1069822,tissue type: Cancer tissue
GSM1069823,tissue type: Cancer tissue
GSM1069824,tissue type: Cancer tissue
GSM1069825,tissue type: Cancer tissue
GSM1069826,tissue type: Adjacent normal tissue
